AWARD_LONG_TITLE,PRPSL_LONG_TITLE,PRPSL_ABSTRACT,KEY_TERMS,GOLD_STANDARD_CATEGORIES,RCDC_CATEGORY,RCDC_SCORE,RCDC_TOP_3
Elucidating novel molecular mechanisms of irisin-mediated effects via integrin,Elucidating novel molecular mechanisms of irisin-mediated effects via integrin,"PROJECT SUMMARY:
Exercise benefits the body in many ways. The functions of skeletal muscle, brain, liver, bone, adipose tissue
and heart all gain from various types of physical activity and training. People suffering from disabilities, morbid
obesity, or age-related diseases, are usually physically inactive, which exacerbates their symptoms and leads to
development of other types of diseases, such as type 2 diabetes mellitus, cardiovascular diseases, and some
forms of cancers. Scientific explorations of exercise have become more molecular, focusing on the pathways
and molecules that mediate these benefits. Irisin has been identified as an exercise-induced hormone that
embodies many adaptations to exercise in a variety of tissues/organs, including “browning” of subcutaneous
adipose tissue, bone remodeling, improving cognitive deficits and neuropathology, and promoting myogenesis
of skeletal muscles.
In bone and fat, the effects of irisin are mediated via αv integrins, with αvβ5 identified as the major receptor.
However, my biochemical and biophysical characterization of direct interaction between irisin and αvβ5
suggested extremely weak binding, while the concentrations of irisin that induce detectable amount of
irisin-mediated effects in the body and in the cultured cells are really low, indicating a very high irisin/receptor
binding affinity. This paradox could be explained by the existence of an additional factor that facilitates
irisin/integrin interaction and irisin-mediated integrin activation. My preliminary data suggested that an
exercise-induced circulating protein Hsp90α binds to integrin αvβ5, and functions as a cofactor to mediate the
binding of irisin to integrin and irisin-induced integrin signaling. Irisin is different from many integrin ligands in
that irisin is small, heavily glycosylated, and lacks the well-identified integrin binding motif, indicating a
non-canonical ways of ligand binding to integrins.
Biophysical and biochemical approaches will be used to characterize the complexes formed by irisin (WT and
glycosylation mutants), αvβ5 and Hsp90α. The molecular model will be firstly tested in HEK293T cells
ectopically expressing αv and β5, and muscle and fat cells, using molecular approaches and fluorescence
microscopy. The effects of Hsp90α will be further evaluated in mice. Taken together, these studies will advance
our understanding of irisin-mediated (or hormone-mediated, in general) integrin signaling, which will assist drug
and antibody development to treat patients with obesity, aged-related diseases and neuro- or muscular
degenerative disorders.
The proposed project represents a great balance between biochemistry/biophysics as well as cell biology, in
which I was trained during my Ph.D, and cell metabolism and animal physiology, which are the primary
technologies employed by the Spiegelman lab. The resources provided by Bruce’s networks, DFCI and HMS,
tremendously facilitated my research, and will support me to become an independent scientist.",,Biotechnology; Obesity; Physical Activity; Prevention,Osteoporosis,0.9118693470954895,Osteoporosis:0.911869; Diabetes:0.911737; Sarcopenia:0.911238
Pyroptotic Macrophages Traps Against Shigella Infection,Pyroptotic Macrophages Traps Against Shigella Infection,"Shigella spp. are major enteric pathogens, causing acute diarrhea and bacillary dysentery leading to severe mortality and morbidity worldwide. Yet, there is no licensed vaccine to prevent shigellosis. Shigella virulence requires a T3SS and at least 30 secreted effectors that are often functionally redundant, yet required to invade host cells, maintain a replicative niche, minimize alarm signals, and promote colonization. We previously showed that S. flexneri T3SS activity is detected in macrophages by Caspase-1 inflammasomes, resulting in pyroptosis. In the recent mouse shigellosis model, the role of the inflammasome is only focused on gut intestinal epithelial cells (IECs). However, it is generally believed that Shigella initially infect macrophages and takes advantage of pyroptotic cell death to exit the cells and subsequently infect IECs. On the other hand, macrophage pyroptosis is known to generate pore-induced traps (PITs), trapping, and neutralizing intracellular bacterial pathogens. Since macrophages pyroptosis is considered to play dichotomous roles during Shigella infection, we propose to investigate the interaction between macrophages' inflammasomes and S. flexneri. We propose two specific Aims: In Aim1, we will investigate how pyroptotic macrophages from PITs trap intracellular bacteria. In Aim 2. We will define the role of pyroptotic macrophages and PITs during S. flexneri infection in vitro and in vivo. We hope that examining the role of macrophages pyroptosis against S. flexneri infection, will be highly significant and relevant for better understanding immunity and disease pathologies during Shigella infection and thereby providing the basis for developing novel safer, and more effective vaccines.",,Biodefense and Related Countermeasures; Digestive Diseases; Emerging Infectious Diseases; Foodborne Illness; Immunization; Infectious Diseases; Prevention; Rare Diseases; Vaccine Related,Vector-Borne Diseases,0.9121432304382324,Vector-Borne Diseases:0.912143; Sepsis:0.909329; Malaria:0.909298
Project 2: Investigating the role of PAH exposures associated with superfund site proximity in preterm birth etiology through placental transcriptomics and metagenomics,Project 2: Investigating the role of PAH exposures associated with superfund site proximity in preterm birth etiology through placental transcriptomics and metagenomics,"The burden of perinatal morbidity and mortality related to preterm birth (PTB) is astounding. Studies show that
environmental exposures contribute to an increased susceptibility to PTB. Identification of the causative
etiology of PTB is essential to improving global maternal and child health. Our preliminary data reveal that
exposure to polycyclic aromatic hydrocarbons (PAHs) is associated with PTB. We have reported that proximity
to Superfund sites in Harris County is associated with very low birth weight, and our studies reveal higher
levels of PAHs in placentas from PTBs compared to term births specifically in women residing near Superfund
sites. In this proposal we will delve into the molecular underpinnings behind PTB and the specific
environmental exposures of PAHs through use of our established transcriptomic and epigenomic pipelines. We
will leverage our readily available serum and placental samples from a population based and PTB enriched
cohort. Furthermore, geostatistical modeling will be utilized to identify clusters of PTB throughout Harris
County. Our central hypothesis underlying our research is that PAH exposures are associated with an
increased rate of PTB, that transcriptomics and epigenomics will yield readily translatable mechanistic
information on this association, and geostatistical modeling will reveal increased clusters of PTB in proximity to
Superfund sites in Harris County.",,"Clinical Research; Contraception/Reproduction; Endocrine Disruptors; Genetics; Human Genome; Lung; Maternal Health; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; Pregnancy; Preterm, Low Birth Weight and Health of the Newborn; Prevention; Women's Health Research","Preterm, Low Birth Weight and Health of the Newborn",0.9105510711669922,"Preterm, Low Birth Weight and Health of the Newborn:0.910551; Rare Diseases:0.907489; Conditions Affecting the Embryonic and Fetal Periods:0.907488"
Cellular and Molecular Biology Core,Cellular and Molecular Biology Core,"PROJECT SUMMARY: CELLULAR AND MOLECULAR BIOLOGY CORE
The Cellular and Molecular Biology Core provides essential equipment and support for molecular biology, cell
culture, histology, and virology. Importantly, the Core contains a number of specialized instruments that are
either too costly for individual investigators, necessary but infrequently used, or require skilled assistance to
use. The goals are to provide facilities, expertise, and services for: 1) establishing, expanding, and maintaining
primary cells, stem cells, and transformed, transfected, and inducible cell lines as well as organ cultures for
use in vision research, 2) performing cellular and molecular biology experiments for ophthalmic research that
require use of specialized instrumentation, 3) assisting and coordinating experiments that involve cell culturing,
transfection, viral packaging, primer design, cloning, construction of mammalian and viral vectors, flow
cytometry, laser capture microdissection, DNA sequencing, real time PCR, DNA/microRNA microarray,
Luminex, proteomics, and protein analyses, and 4) assisting in histologic and morphological studies of tissue
specimens and cultured cells.",,Biotechnology; Eye Disease and Disorders of Vision; Stem Cell Research; Stem Cell Research - Induced Pluripotent Stem Cell; Stem Cell Research - Induced Pluripotent Stem Cell - Non-Human; Stem Cell Research - Nonembryonic - Non-Human,Cerebrovascular,0.9328163862228394,Cerebrovascular:0.932816; Cancer:0.929607; Regenerative Medicine:0.927085
Mobile Three-Dimensional Screening for Cranial Malformations,Mobile Three-Dimensional Screening for Cranial Malformations,"ABSTRACT
 Delayed identification of infant head malformation is causing unnecessary medical complications and societal
costs. A critical challenge in the early detection is the absence of tools available to pediatric offices to perform
quantitative head shape assessment during well-child visits. Delays in diagnosis limit the opportunity for early,
less invasive and effective treatment options. In this Fast-track SBIR project, PediaMetrix Inc. has joined forces
with pediatric hospitals and providers to develop and evaluate SoftSpotTM, which is the first mobile digital tool for
3D data collection and analysis of infant cranial malformations at the point-of-care.
 Head malformations during infancy can be synostotic (i.e., craniosynostosis) or nonsynostotic (such as
deformational plagiocephaly and brachycephaly or DPB). Both types of conditions require immediate attention
and benefit from early treatment to avoid long-term health complications. The prevalence of DPB increased
dramatically in recent years, from 5% to approximately 20%-30%, causing the condition to be called a pediatric
epidemic. Craniosynostosis is less common affecting 1 in 2,000 children. To improve the early management of
these conditions and to prevent more complex treatment and associated morbidities, it is essential to monitor
the growth of the infant head at the point-of-care.
 To address this unmet clinical need, we will develop and evaluate a mobile digital tool that will enable
pediatricians to capture and analyze 3D scans of every infant for the early diagnosis and management of cranial
malformations. In the Phase I of this project, we will develop a novel technology to rapidly capture and analyze
3D data of the top of cranium in just seconds. We will use machine learning methods to automatically compute
the head shape parameters, including the head circumference which is routinely performed during every child
visit, but currently with an outdated and unreliable measuring tape. Our technology will be designed for the
general cranial evaluation of all infants during well-child visits. In Phase II, we will develop methods for the 3D
reconstruction and analysis of the full cranium from a smartphone. We will also train deep learning models to
classify types of craniosynostosis and other cranial conditions and conduct clinical evaluation and user-feasibility
studies.
 The overall mission of PediaMetrix is to provide accurate decision support tools for pediatric health at the
point-of-care. This will be achieved through machine learning and quantitative imaging algorithms that in
combination with smartphone technological advances will be packaged as mobile digital health solutions
accessible to pediatric health providers at any time and location. Successful demonstration of SoftSpot3DTM will
lead to a significant reduction of the number of children left with untreated cranial conditions in addition to
lowering the associated healthcare costs and social anxiety.",,"Bioengineering; Clinical Research; Congenital Structural Anomalies; Dental, Oral, and Craniofacial Disease; Health Services; Machine Learning and Artificial Intelligence; Networking and Information Technology R&D (NITRD); Pediatric; Prevention; Primary Health Care; Rare Diseases; Telehealth",Pediatric,0.9315162897109985,Pediatric:0.931516; Intellectual and Developmental Disabilities (IDD):0.926888; Rare Diseases:0.924411
Mobile Three-Dimensional Screening for Cranial Malformations,Mobile Three-Dimensional Screening for Cranial Malformations,"Modified Project Summary/Abstract Section

Delayed identification of infant head malformation is causing unnecessary medical complications and societal costs. A critical challenge in the early detection is the absence of tools available to pediatric offices to perform quantitative head shape assessment during well-child visits. Delays in diagnosis limit the opportunity for early, less invasive and effective treatment options. In this Fast-track SBIR project, PediaMetrix Inc. has joined forces with pediatric hospitals and providers to develop and evaluate SoftSpotTM, which is the first mobile digital tool for 3D data collection and analysis of infant cranial malformations at the point-of-care.  Head malformations during infancy can be synostotic (i.e., craniosynostosis) or nonsynostotic (such as deformational plagiocephaly and brachycephaly or DPB). Both types of conditions require immediate attention and benefit from early treatment to avoid long-term health complications. The prevalence of DPB increased dramatically in recent years, from 5% to approximately 20%-30%, causing the condition to be called a pediatric epidemic. Craniosynostosis is less common affecting 1 in 2,000 children. To improve the early management of these conditions and to prevent more complex treatment and associated morbidities, it is essential to monitor the growth of the infant head at the point-of-care.

To address this unmet clinical need, under our parent grant, we will develop and evaluate a mobile digital tool that will enable pediatricians to capture and analyze 3D scans of every infant for the early diagnosis and management of cranial malformations. The proposed supplement project will perform market research for the direct to consumer (parents of newborns) as well as business to business (primary pediatric clinics) path for SoftSpot, development of financial projections (pro forma), running a pilot with a channel partner, finding the strategic partners, and improving the product (both technically and regulatory wise) to be ready for launch and scaling.  

The overall mission of PediaMetrix is to provide accurate decision support tools for pediatric health at the point-of-care. This will be achieved through machine learning and quantitative imaging algorithms that in combination with smartphone technological advances will be packaged as mobile digital health solutions accessible to pediatric health providers at any time and location. Successful demonstration of SoftSpot3DTM will lead to a significant reduction of the number of children left with untreated cranial conditions in addition to lowering the associated healthcare costs and social anxiety.",,"Bioengineering; Clinical Research; Congenital Structural Anomalies; Dental, Oral, and Craniofacial Disease; Health Services; Pediatric; Prevention; Primary Health Care; Rare Diseases",Pediatric,0.9317935705184937,Pediatric:0.931794; Intellectual and Developmental Disabilities (IDD):0.926531; Rare Diseases:0.925028
Fatal Overdose Review Teams - Research to Enhance Surveillance Systems (FORTRESS),Fatal Overdose Review Teams - Research to Enhance Surveillance Systems (FORTRESS),"This study is part of the NIH’s Helping to End Addiction Long-term (HEAL) initiative to speed scientific solutions for the overdose epidemic, including opioid and stimulant use disorders. The NIH HEAL Initiative bolsters research across NIH to address the national opioid public health crisis and improve treatment for opioid misuse and addiction.
This project seeks to address the overdose epidemic by working with overdose fatality review (OFR) teams. Current OFR practices rely on the case review model to make policy and programmatic recommendations. However, the continued rise in overdose rates and sheer number of preventable overdose deaths suggest a need to shift OFR teams away from case review and toward using timely population-level data to better inform their recommendations and actions. The goal of our proposed project, Fatal Overdose Review Teams – Research to Enhance Surveillance Systems (FORTRESS), is to improve standard OFR practices by equipping OFRs with a data dashboard built on real-time aggregate data, record-linked across multiple sources and presented in a way that helps identify and visualize common “overdose touchpoints,” or opportunities to deliver harm-reduction services or engage individuals at risk for overdose in evidence-based treatment. Aligning with the goals of the HEAL Data2Action Program, the FORTRESS research team will leverage available resources and expertise to help OFRs translate data to action. During the R61 Phase, the research team will strengthen established cross-sector partnerships with two state agencies, the Indiana Department of Health and the Indiana Management Performance Hub (MPH), which provide the necessary statewide data infrastructure to record-link population-level administrative data from multiple sources. MPH has also successfully developed publicly accessible data dashboards. The FORTRESS team will build on the early successes of MPH to ensure more timely collection of overdose event data and design the “Overdose Touchpoints Dashboard” (Aim 1). Our team will train OFR team members in Data-Driven Decision Making (DDDM) to effectively use the dashboard. The FORTRESS team also includes individuals involved in developing the CDC’s OFR best practice guidelines and a pilot study of OFR adherence to these guidelines, which will inform our team’s development of an “OFR Fidelity Tool” (Aim 2). This tool will be the first of its kind. For the R33 phase, we will conduct a cluster-randomized stepped-wedge trial comparing the impact of our intervention (dashboard + DDDM training) versus standard OFR practices on both implementation (Aim 3) and effectiveness outcomes (Aim 4). Implementation outcomes include implementation
process fidelity (Stages of Implementation Completion), staff acceptance of harm reduction philosophies (qualitative interviews), OFR fidelity to CDC best practices (FORTRESS OFR Fidelity Tool), and usability of the Overdose Touchpoint Dashboard, (Systems Usability Scale). A statewide OFR data repository serves as a rich source of data on effectiveness outcomes, including OFR team recommendation quality and local actions to implement recommended overdose prevention strategies. We will also survey OFR team members to assess changes in their attitudes toward evidence-based overdose prevention strategies. In sum, the FORTRESS team is uniquely qualified to help OFRs use more comprehensive, available data to inform quality, action-oriented recommendations to reduce overdose.",,Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Dissemination and Implementation Research; Drug Abuse (NIDA only); Harm Reduction for Substance Misuse; Opioid Misuse and Addiction; Opioids; Physical Injury - Accidents and Adverse Effects; Prevention; Substance Misuse; Substance Misuse Prevention,Recovery Support Services,0.9232546091079712,Recovery Support Services:0.923255; Harm Reduction for Substance Misuse:0.921019; Prevention:0.918132
Improving End-of-Life Care for Hospitalized Patients with Lewy Body Disorders,Improving End-of-Life Care for Hospitalized Patients with Lewy Body Disorders,"PROJECT SUMMARY
Lewy body disorders, a subset of Alzheimer’s disease and related disorders (ADRDs), are the second most
common neurodegenerative disorders worldwide and the 14th leading cause of death in the United States.
Lewy body ADRDs are progressive, incurable, and mortality rates are rising, making end-of-life (EoL) care a
significant public health concern. The majority of persons with Lewy body ADRDs are hospitalized in their last
6 months of life with high rates of intensive care unit admission, in-hospital death, and low rates of discharge to
hospice care. Because these markers of poor care quality are often incongruent with patient care preferences,
urgent interventions are needed to improve EoL care quality in acute care hospitals. Despite this critical need,
there are two fundamental knowledge gaps in developing inpatient EoL interventions for persons with Lewy
body ADRDs: 1) lack of a prognostic model to determine risk of 6-month mortality and 2) lack of a validated
tool to measure EoL care quality. This proposal requests support for a mentored career development award for
Dr. Whitley Aamodt, a movement disorders specialist, neurodegenerative neurologist, and clinical researcher
at the University of Pennsylvania. The overarching goal of this project is to improve prognostication and EoL
care quality for hospitalized persons with Lewy body ADRDs by identifying patients at the greatest risk of death
and ensuring that hospital-based care is appropriate and aligned with care preferences. In Aim 1, Dr. Aamodt
will use comprehensive Medicare data to develop a risk-prediction model for 6-month all-cause mortality in a
nationally representative sample of hospitalized patients with Lewy body ADRDs using advanced predictive
modeling. This model will be externally validated in a second cohort of Medicare beneficiaries from the post-
pandemic period. In Aim 2, Dr. Aamodt will create, test, and externally validate a patient-centered EoL care
quality instrument based on data gathered from diverse Lewy body ADRD patients, care partners, and
practitioners using qualitative research methods and factor analysis. In executing these aims, Dr. Aamodt will
obtain additional training in neuroepidemiology, biostatistics, and qualitative research under the guidance of
mentors and advisors in epidemiologic research methods (John Farrar, MD, PhD), neurodegenerative disease
epidemiology and health services research (Allison Willis, MD, MS), predictive modeling (Warren Bilker, PhD),
qualitative research methods (Katharine Rendle, PhD, MPH), and palliative care research (Scott Halpern, MD,
PhD). The results of this project will provide fundamental knowledge about hospitalized patients with Lewy
body ADRDs nearing EoL and will guide the development of future interventions to improve EoL care quality.
This work aligns with the strategic goal of the National Institute on Aging to address EoL care needs in ADRDs.
Through the research training and mentorship gained during this career development award, Dr. Aamodt will
establish herself as an independent investigator in the field of applied epidemiology, outcomes research, and
palliative and EoL care for aging Americans with neurodegenerative diseases.",,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease Related Dementias (ADRD); Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Behavioral and Social Science; Brain Disorders; Clinical Research; Dementia; Health Services; Lewy Body Dementia; Neurodegenerative; Neurosciences; Palliative Care; Patient Safety,Lewy Body Dementia,0.9608004689216614,Lewy Body Dementia:0.960800; Neurodegenerative:0.946050; Alzheimer's Disease Related Dementias (ADRD):0.943409
The Lombard effect in muscle tension dysphonia: mechanistic and clinical characterization,The Lombard effect in muscle tension dysphonia: mechanistic and clinical characterization,"Project Summary
The objective of this project is to investigate voice changes associated with speaking in challenging acoustic
environments to better inform clinical care for individuals with voice disorders. Muscle tension dysphonia (MTD)
is a common voice disorder that often results in difficulty communicating in daily life. Many people experience
voice symptoms from speaking in noisy environments; for most, the symptoms resolve quickly. However, for
those with MTD, voice symptoms often persist, making it difficult for them to meet their occupational and social
vocal demands. The reasons for this persistence are unknown. Therefore, it is essential to elucidate the
underlying mechanisms of voice production in noisy environments to optimize and individualize voice
assessment and treatment for these individuals with MTD. Most speakers increase their vocal intensity while
speaking in noisy environments, a phenomenon known as the Lombard effect. Speaking during and after
exposure to a loud environment presumably requires monitoring of both background noise and one’s own voice,
and then responding with vocal motor adjustments. This implies that sensorimotor integration is crucial in these
real-life circumstances. There is preliminary evidence that individuals with MTD have atypical auditory-motor
integration and an atypical persistence of Lombard responses after speaking in noise. However, no known
studies have comprehensively characterized the underlying mechanisms and clinically relevant voice changes
of the Lombard effect for those with and without MTD. To develop evidenced-based diagnostics and targeted
voice treatments, we must better understand the processes and voice changes associated with speaking in daily
life. Therefore, the specific aims of this project are to 1) investigate the sensorimotor mechanisms of the Lombard
effect and 2) characterize clinically relevant voice changes associated with the Lombard effect for individuals
with and without MTD within a communicative context. Sixty speakers (30 with MTD and 30 without) will complete
a Lombard task to measure vocal responses and self-reported vocal effort while communicating during and after
exposure to a noisy environment. Inexperienced listeners will rate overall severity of dysphonia for the speakers’
speech samples from the Lombard task. Lombard responses will be analyzed behaviorally and neuro-
computationally, and they will be compared between the groups and across various stages of the Lombard task.
Clinically relevant vocal measures (i.e., acoustic, self-reported vocal effort, and listener-auditory perceptual
ratings of overall severity of dysphonia) of the Lombard task will be compared across groups and phases of the
experimental task. This project is theoretically and clinically significant; it will fill in a substantial gap, providing
theoretical insight into the sensorimotor mechanisms of MTD in real-life environmental contexts, and contributing
to the clinical evidence to improve diagnostics and individualize treatment for those with sensorimotor deficits
underlying their voice disorders.",,Clinical Research; Neurosciences,Temporomandibular Muscle/Joint Disorder (TMJD),0.9405994415283203,Temporomandibular Muscle/Joint Disorder (TMJD):0.940599; Myasthenia Gravis:0.926410; Dystonia:0.924574
Optimizing pain-related outcomes following orthopedic trauma: testing novel risk factors and determining the feasibility of a new pain psychology intervention,Optimizing pain-related outcomes following orthopedic trauma: testing novel risk factors and determining the feasibility of a new pain psychology intervention,"PROJECT SUMMARY
 The long-term goal of this K23 Career Development Award is to prepare the PI (Rachel Aaron, PhD) for
an independent research career that aims to promote adaptive recovery for individuals who survive orthopedic
trauma. Orthopedic trauma, resulting in severe injuries such as multiple fractures or amputation, occurs in
around 3 million people annually in the United States; about half of survivors experience persistent pain and
psychological distress in the year following injury, and most report substantial disability 7 years post trauma.
There is an urgent need to identify factors that underlie pain and psychological distress following orthopedic
trauma and to develop targeted psychological interventions to treat these potentially disabling symptoms.
 The broader literature suggests that difficulties with emotion regulation (i.e., identifying one's emotions
and engaging in strategies to up- or down-regulate them) and central sensitization (i.e., alterations in the
endogenous modulation of pain) lead to poor pain-related outcomes. Using a theory-driven assessment of
emotion regulation, and gold-standard, laboratory-based assessment of central sensitization (quantitative
sensory testing [QST]), Study 1 will examine emotion regulation difficulties and central sensitization at 6 weeks
post trauma as predictors of persistent pain, distress, and opioid use 6 months post trauma. Study 2 will test
the feasibility of assessing and delivering Emotional Awareness and Expression Therapy (EAET) to people
who endorse persistent pain (i.e., clinically significant pain, present most days for the past 3 months) at 6
months post trauma. EAET is a novel chronic pain psychology intervention that treats pain and distress by
targeting trauma-related emotion regulation process. Trauma exposure is ubiquitous among orthopedic trauma
survivors; thus, EAET may be ideally suited for those with persistent pain post trauma. However, the feasibility
of delivering EAET is unclear due to established barriers engaging this population in mental health treatment.
 Proposed research and career development activities will take place at Johns Hopkins University
(JHU), a renowned research environment. JHU is dedicated to the success of its junior faculty and provides
unique access to orthopedic trauma patients. The PI has formed a strong team of content experts in central
sensitization (including QST), psychological intervention (including EAET), and orthopedic trauma. Immersed
in JHU's rich training environment, the PI will achieve the following career goals through dedicated mentorship,
didactic experiences, and professional development opportunities: (1) develop expertise in the assessment of
central sensitization, including QST; (2) gain foundational skills for intervention development, implementation,
and analysis; and (3) learn to lead impactful orthopedic trauma clinical research. The completion of this K23
proposal will provide the necessary training and preliminary data for the PI to obtain independent grant funding
and systematically pursue a line of research to improve outcomes for survivors of orthopedic trauma.",,Anxiety Disorders; Behavioral and Social Science; Brain Disorders; Chronic Pain; Clinical Research; Clinical Trials and Supportive Activities; Disability Research; Mental Health; Mental Illness; Neurosciences; Pain Research; Physical Injury - Accidents and Adverse Effects; Post-Traumatic Stress Disorder (PTSD); Prevention,Post-Traumatic Stress Disorder (PTSD),0.9378103613853455,Post-Traumatic Stress Disorder (PTSD):0.937810; Prevention:0.931309; Pain Research:0.930899
